,state,timestamp,id_house,id_sensor
836,off,1676468766.824633,8,50
837,on,1676468781.581904,8,50
838,off,1676468796.579062,8,50
839,on,1676468811.561248,8,50
840,off,1676468826.559316,8,50
841,on,1676468846.175874,8,50
842,off,1676468861.174422,8,50
843,on,1676468881.824242,8,50
844,off,1676468896.828734,8,50
845,on,1676468915.631366,8,50
846,off,1676468930.633737,8,50
847,on,1676468945.379416,8,50
848,off,1676468960.381633,8,50
849,on,1676468975.13358,8,50
850,off,1676468990.135591,8,50
851,on,1676469005.310044,8,50
852,off,1676469020.312278,8,50
853,on,1676469037.373728,8,50
854,off,1676469052.374181,8,50
855,on,1676469067.252321,8,50
856,off,1676469082.253391,8,50
857,on,1676469097.002825,8,50
858,off,1676469112.004892,8,50
859,on,1676469126.752978,8,50
860,off,1676469141.753979,8,50
861,on,1676469156.577592,8,50
862,off,1676469171.57927,8,50
863,on,1676469212.417268,8,50
864,off,1676469227.419541,8,50
865,on,1676469243.605623,8,50
866,off,1676469258.604553,8,50
867,on,1676469289.926312,8,50
868,off,1676469304.928584,8,50
